★ StatTrak™ Huntsman Knife | Blue Steel (Field-Tested),"[-885.05, 1000.0]"
★ StatTrak™ Huntsman Knife | Fade (Factory New),"[-100.36000000000001, 450.0]"
★ StatTrak™ Huntsman Knife | Crimson Web (Battle-Scarred),"[-22.560000000000002, 164.95]"
★ StatTrak™ Huntsman Knife | Forest DDPAT (Minimal Wear),"[1.0900000000000034, 114.95]"
★ StatTrak™ Gut Knife | Stained (Factory New),"[-362.09000000000003, 486.0]"
eSports 2013 Case,"[5.600000000000001, 29.79]"
CS:GO Weapon Case,"[9.260000000000005, 38.94]"
★ Bayonet,"[90.0, 350.0]"
★ Karambit,"[104.98000000000002, 490.0]"
★ Flip Knife,"[29.60000000000001, 124.8]"
★ Gut Knife,"[17.739999999999995, 69.89]"
★ M9 Bayonet,"[86.0, 395.0]"
AUG | Wings (Factory New),"[-1.33, 13.34]"
MP7 | Skulls (Minimal Wear),"[-1.040000000000001, 11.8]"
Glock-18 | Dragon Tattoo (Factory New),"[11.36, 53.97]"
SG 553 | Ultraviolet (Well-Worn),"[-39.34, 50.0]"
StatTrak™ MP7 | Skulls (Minimal Wear),"[-5.25, 15.0]"
MAG-7 | Memento (Minimal Wear),"[-19.85, 21.78]"
StatTrak™ AUG | Wings (Factory New),"[-7.400000000000002, 19.1]"
AK-47 | Predator (Field-Tested),"[-0.47999999999999865, 10.69]"
P250 | Splash (Minimal Wear),"[1.75, 10.35]"
MAG-7 | Memento (Factory New),"[-12.120000000000001, 15.0]"
USP-S | Dark Water (Field-Tested),"[-4.489999999999995, 56.19]"
AWP | Lightning Strike (Factory New),"[88.03999999999996, 273.79]"
AK-47 | Case Hardened (Minimal Wear),"[35.44000000000001, 98.99]"
AWP | BOOM (Minimal Wear),"[15.14, 38.49]"
P90 | Fallout Warning (Field-Tested),"[-34.16, 38.22]"
Desert Eagle | Hypnotic (Factory New),"[1.0200000000000102, 83.99]"
USP-S | Dark Water (Minimal Wear),"[8.880000000000003, 49.97]"
AK-47 | Red Laminate (Field-Tested),"[4.290000000000001, 15.69]"
M4A1-S | Dark Water (Field-Tested),"[7.93, 40.0]"
M4A1-S | Dark Water (Minimal Wear),"[10.969999999999999, 49.99]"
StatTrak™ M4A1-S | Dark Water (Minimal Wear),"[-4.780000000000001, 90.0]"
P90 | Fallout Warning (Minimal Wear),"[-31.6, 42.0]"
SG 553 | Ultraviolet (Battle-Scarred),"[-0.5499999999999989, 10.76]"
Desert Eagle | Blaze (Factory New),"[88.72000000000003, 411.33]"
M4A4 | Faded Zebra (Factory New),"[-39.91, 50.0]"
StatTrak™ AUG | Wings (Minimal Wear),"[-45.65, 55.51]"
AUG | Wings (Minimal Wear),"[-2.99, 14.0]"
AK-47 | Predator (Well-Worn),"[-7.630000000000001, 16.75]"
UMP-45 | Caramel (Well-Worn),"[-51.05, 56.89]"
M4A4 | Desert Storm (Field-Tested),"[-0.8699999999999992, 10.5]"
StatTrak™ MP7 | Skulls (Field-Tested),"[-0.3000000000000007, 10.39]"
AUG | Hot Rod (Factory New),"[33.69999999999999, 329.63]"
M4A4 | Jungle Tiger (Battle-Scarred),"[-58.739999999999995, 61.8]"
AK-47 | Case Hardened (Well-Worn),"[12.189999999999998, 68.9]"
AK-47 | Red Laminate (Minimal Wear),"[8.229999999999997, 21.76]"
StatTrak™ Galil AR | Orange DDPAT (Field-Tested),"[-0.3200000000000003, 11.86]"
StatTrak™ M4A1-S | Dark Water (Field-Tested),"[8.75, 66.99]"
StatTrak™ P250 | Splash (Field-Tested),"[-6.0, 19.0]"
StatTrak™ P250 | Splash (Minimal Wear),"[-3.59, 22.88]"
StatTrak™ AWP | Lightning Strike (Factory New),"[-171.55999999999995, 795.0]"
StatTrak™ AK-47 | Red Laminate (Field-Tested),"[0.789999999999992, 65.01]"
Sawed-Off | Irradiated Alert (Factory New),"[-15.829999999999998, 19.99]"
AK-47 | Predator (Minimal Wear),"[0.4499999999999993, 10.82]"
P90 | Death by Kitty (Minimal Wear),"[10.43999999999999, 59.38]"
AK-47 | Black Laminate (Minimal Wear),"[2.039999999999999, 19.78]"
M4A4 | Radiation Hazard (Field-Tested),"[-0.6099999999999994, 12.95]"
SCAR-20 | Palm (Minimal Wear),"[-21.009999999999998, 29.83]"
MAG-7 | Sand Dune (Factory New),"[-6.8, 11.99]"
StatTrak™ USP-S | Dark Water (Minimal Wear),"[-113.55, 200.0]"
AK-47 | Case Hardened (Battle-Scarred),"[12.670000000000002, 64.89]"
Dual Berettas | Demolition (Well-Worn),"[-75.10000000000001, 77.26]"
M4A4 | Radiation Hazard (Battle-Scarred),"[-1.4900000000000002, 12.0]"
StatTrak™ Glock-18 | Dragon Tattoo (Factory New),"[10.299999999999997, 110.0]"
P90 | Death by Kitty (Field-Tested),"[8.950000000000003, 29.89]"
AK-47 | Case Hardened (Field-Tested),"[26.89999999999999, 86.2]"
SCAR-20 | Splash Jam (Minimal Wear),"[0.8900000000000006, 25.0]"
SG 553 | Ultraviolet (Factory New),"[3.9700000000000024, 23.49]"
PP-Bizon | Forest Leaves (Factory New),"[-31.630000000000003, 39.99]"
AK-47 | Predator (Battle-Scarred),"[-30.939999999999998, 40.0]"
PP-Bizon | Modern Hunter (Minimal Wear),"[-39.75, 49.99]"
StatTrak™ USP-S | Dark Water (Field-Tested),"[-21.22, 100.0]"
AK-47 | Black Laminate (Battle-Scarred),"[1.1700000000000017, 18.0]"
AK-47 | Red Laminate (Battle-Scarred),"[-0.14000000000000057, 20.35]"
Tec-9 | Nuclear Threat (Field-Tested),"[-1.8499999999999996, 13.99]"
★ M9 Bayonet | Forest DDPAT (Field-Tested),"[23.44999999999999, 163.0]"
StatTrak™ SG 553 | Ultraviolet (Well-Worn),"[-8.489999999999998, 17.99]"
StatTrak™ Desert Eagle | Hypnotic (Factory New),"[9.019999999999996, 93.56]"
P250 | Nuclear Threat (Minimal Wear),"[-2.25, 40.0]"
AK-47 | Red Laminate (Well-Worn),"[3.84, 18.16]"
★ Flip Knife | Crimson Web (Field-Tested),"[9.030000000000001, 195.0]"
★ Karambit | Stained (Field-Tested),"[26.0, 320.0]"
AK-47 | Jungle Spray (Factory New),"[-120.0, 170.0]"
★ Karambit | Case Hardened (Field-Tested),"[-120.28999999999996, 647.01]"
★ Karambit | Night (Field-Tested),"[60.73000000000002, 264.99]"
StatTrak™ P90 | Death by Kitty (Field-Tested),"[23.60000000000001, 76.58]"
★ Gut Knife | Crimson Web (Minimal Wear),"[-19.25, 144.9]"
★ M9 Bayonet | Safari Mesh (Field-Tested),"[37.31999999999999, 147.0]"
★ Flip Knife | Forest DDPAT (Field-Tested),"[19.650000000000006, 79.11]"
Tec-9 | Nuclear Threat (Battle-Scarred),"[-2.09, 10.15]"
Glock-18 | Fade (Factory New),"[255.55999999999995, 1145.54]"
P250 | Gunsmoke (Minimal Wear),"[-63.42, 65.0]"
M4A4 | Desert Storm (Minimal Wear),"[-14.990000000000002, 25.69]"
XM1014 | Urban Perforated (Factory New),"[-11.27, 14.99]"
Galil AR | Orange DDPAT (Minimal Wear),"[-2.24, 12.56]"
AK-47 | Case Hardened (Factory New),"[51.93000000000001, 165.0]"
AWP | BOOM (Field-Tested),"[7.0, 34.9]"
M4A4 | Desert Storm (Well-Worn),"[-4.09, 13.0]"
StatTrak™ Sawed-Off | Orange DDPAT (Battle-Scarred),"[-150.34, 161.32]"
MP9 | Bulldozer (Minimal Wear),"[-69.88, 159.0]"
AK-47 | Black Laminate (Field-Tested),"[1.0200000000000014, 15.51]"
SG 553 | Tornado (Factory New),"[-23.990000000000002, 38.99]"
★ Gut Knife | Blue Steel (Field-Tested),"[-10.049999999999997, 92.11]"
StatTrak™ Galil AR | Orange DDPAT (Minimal Wear),"[0.28999999999999915, 18.66]"
AWP | Lightning Strike (Minimal Wear),"[-77.98000000000002, 399.0]"
StatTrak™ Sawed-Off | Orange DDPAT (Well-Worn),"[-69.9, 79.45]"
StatTrak™ AK-47 | Case Hardened (Well-Worn),"[-0.5199999999999818, 196.98]"
★ Karambit | Night (Well-Worn),"[-34.79000000000002, 300.0]"
★ Karambit | Forest DDPAT (Field-Tested),"[60.150000000000006, 195.35]"
★ Gut Knife | Scorched (Well-Worn),"[9.879999999999995, 60.0]"
StatTrak™ AK-47 | Red Laminate (Minimal Wear),"[-192.72000000000003, 298.99]"
★ Karambit | Blue Steel (Minimal Wear),"[96.69999999999999, 350.0]"
P250 | Splash (Factory New),"[4.98, 25.0]"
MP9 | Bulldozer (Field-Tested),"[-2.7600000000000016, 29.0]"
AWP | Snake Camo (Battle-Scarred),"[-71.12, 130.0]"
Nova | Blaze Orange (Battle-Scarred),"[-7.210000000000001, 12.13]"
StatTrak™ AWP | BOOM (Minimal Wear),"[26.599999999999994, 102.4]"
StatTrak™ AK-47 | Red Laminate (Battle-Scarred),"[4.900000000000006, 70.0]"
StatTrak™ AK-47 | Red Laminate (Well-Worn),"[10.949999999999996, 52.99]"
Tec-9 | Brass (Factory New),"[-0.15000000000000036, 10.93]"
★ Flip Knife | Fade (Factory New),"[98.29999999999995, 439.99]"
★ Karambit | Slaughter (Field-Tested),"[-191.81000000000006, 738.95]"
★ Bayonet | Crimson Web (Field-Tested),"[-14.560000000000002, 260.0]"
P250 | Modern Hunter (Minimal Wear),"[-24.0, 37.0]"
M4A4 | Radiation Hazard (Minimal Wear),"[-8.79, 50.0]"
Tec-9 | Nuclear Threat (Minimal Wear),"[-2.270000000000003, 37.0]"
MP7 | Whiteout (Minimal Wear),"[-121.16000000000001, 149.99]"
P250 | Modern Hunter (Battle-Scarred),"[-76.62, 82.54]"
StatTrak™ SG 553 | Ultraviolet (Factory New),"[2.719999999999999, 85.3]"
M4A4 | Desert Storm (Factory New),"[-17.1, 50.0]"
★ Bayonet | Forest DDPAT (Field-Tested),"[34.44999999999999, 110.0]"
StatTrak™ Sawed-Off | Orange DDPAT (Minimal Wear),"[-28.5, 44.0]"
★ Gut Knife | Scorched (Battle-Scarred),"[-0.9699999999999989, 73.0]"
M4A4 | Radiation Hazard (Well-Worn),"[-0.2699999999999996, 11.0]"
PP-Bizon | Irradiated Alert (Factory New),"[-5.64, 11.11]"
★ Karambit | Scorched (Field-Tested),"[12.109999999999985, 219.99]"
★ Bayonet | Case Hardened (Field-Tested),"[-61.85000000000002, 330.0]"
StatTrak™ M4A4 | Faded Zebra (Factory New),"[-64.27000000000001, 99.0]"
★ Gut Knife | Slaughter (Minimal Wear),"[23.099999999999994, 90.0]"
★ M9 Bayonet | Fade (Factory New),"[287.1600000000001, 749.99]"
StatTrak™ Galil AR | Orange DDPAT (Battle-Scarred),"[0.5899999999999999, 11.0]"
★ M9 Bayonet | Case Hardened (Battle-Scarred),"[-13.759999999999991, 289.99]"
★ M9 Bayonet | Scorched (Field-Tested),"[38.55000000000001, 147.0]"
★ M9 Bayonet | Night (Minimal Wear),"[44.39999999999998, 289.0]"
StatTrak™ AK-47 | Case Hardened (Battle-Scarred),"[13.509999999999991, 159.99]"
StatTrak™ AK-47 | Case Hardened (Minimal Wear),"[46.85000000000002, 255.0]"
StatTrak™ AWP | BOOM (Field-Tested),"[13.239999999999995, 68.0]"
★ Gut Knife | Fade (Factory New),"[33.60000000000001, 119.98]"
★ Flip Knife | Stained (Field-Tested),"[24.78, 85.92]"
★ Gut Knife | Night (Field-Tested),"[16.879999999999995, 55.0]"
AWP | BOOM (Factory New),"[-1.6999999999999886, 215.0]"
★ Flip Knife | Stained (Well-Worn),"[6.069999999999993, 101.81]"
AK-47 | Red Laminate (Factory New),"[-98.36000000000001, 229.99]"
★ Flip Knife | Scorched (Field-Tested),"[15.039999999999992, 75.98]"
★ M9 Bayonet | Urban Masked (Field-Tested),"[29.30000000000001, 162.0]"
StatTrak™ AK-47 | Case Hardened (Field-Tested),"[5.429999999999978, 199.99]"
★ Gut Knife | Night (Battle-Scarred),"[-6.390000000000001, 75.99]"
★ M9 Bayonet | Stained (Battle-Scarred),"[-0.010000000000019327, 198.96]"
★ Karambit | Fade (Factory New),"[410.0, 1250.0]"
★ Gut Knife | Case Hardened (Battle-Scarred),"[17.319999999999993, 76.0]"
★ Bayonet | Case Hardened (Battle-Scarred),"[20.609999999999985, 213.99]"
★ Bayonet | Boreal Forest (Field-Tested),"[25.040000000000006, 121.99]"
★ Gut Knife | Blue Steel (Minimal Wear),"[1.3799999999999955, 82.0]"
★ Flip Knife | Night (Field-Tested),"[18.239999999999995, 103.0]"
★ M9 Bayonet | Slaughter (Field-Tested),"[15.0, 359.99]"
P90 | Fallout Warning (Factory New),"[-21.919999999999995, 55.55]"
★ Bayonet | Slaughter (Minimal Wear),"[80.30000000000001, 299.7]"
★ Flip Knife | Slaughter (Factory New),"[59.70999999999998, 222.74]"
★ Karambit | Blue Steel (Field-Tested),"[41.35000000000002, 345.0]"
★ Flip Knife | Boreal Forest (Field-Tested),"[15.079999999999998, 79.0]"
Glock-18 | Brass (Factory New),"[-0.75, 23.75]"
★ Bayonet | Night (Field-Tested),"[31.710000000000008, 130.0]"
★ Flip Knife | Blue Steel (Field-Tested),"[-0.44000000000001194, 118.4]"
★ Flip Knife | Urban Masked (Minimal Wear),"[-10.969999999999999, 114.9]"
★ Gut Knife | Urban Masked (Field-Tested),"[11.379999999999995, 58.81]"
★ M9 Bayonet | Blue Steel (Field-Tested),"[25.120000000000005, 261.99]"
★ Bayonet | Blue Steel (Battle-Scarred),"[25.909999999999997, 180.0]"
★ M9 Bayonet | Crimson Web (Field-Tested),"[53.0, 325.0]"
★ M9 Bayonet | Crimson Web (Battle-Scarred),"[-99.26999999999998, 420.4]"
StatTrak™ AK-47 | Case Hardened (Factory New),"[36.0, 480.0]"
★ Gut Knife | Forest DDPAT (Field-Tested),"[9.839999999999996, 60.4]"
★ M9 Bayonet | Boreal Forest (Field-Tested),"[32.33000000000001, 164.0]"
★ Bayonet | Blue Steel (Well-Worn),"[6.340000000000003, 199.99]"
StatTrak™ Sawed-Off | Orange DDPAT (Factory New),"[-27.509999999999998, 89.99]"
★ Bayonet | Slaughter (Factory New),"[73.82999999999998, 389.97]"
★ Karambit | Boreal Forest (Field-Tested),"[44.339999999999975, 219.99]"
★ Gut Knife | Scorched (Field-Tested),"[13.100000000000001, 58.9]"
★ Karambit | Case Hardened (Well-Worn),"[49.99000000000001, 450.0]"
★ Flip Knife | Urban Masked (Field-Tested),"[22.22, 82.0]"
StatTrak™ Desert Eagle | Hypnotic (Minimal Wear),"[-72.44, 169.0]"
★ M9 Bayonet | Case Hardened (Minimal Wear),"[-71.97000000000003, 451.97]"
★ M9 Bayonet | Case Hardened (Well-Worn),"[46.76999999999998, 250.0]"
★ M9 Bayonet | Forest DDPAT (Battle-Scarred),"[31.22999999999999, 169.99]"
★ Gut Knife | Scorched (Minimal Wear),"[9.010000000000005, 70.0]"
★ Gut Knife | Safari Mesh (Field-Tested),"[10.579999999999998, 60.0]"
★ Bayonet | Crimson Web (Minimal Wear),"[-48.49000000000001, 519.99]"
★ Bayonet | Fade (Factory New),"[140.72000000000003, 550.0]"
★ Bayonet | Urban Masked (Field-Tested),"[13.120000000000005, 135.0]"
★ Bayonet | Safari Mesh (Field-Tested),"[20.22999999999999, 118.0]"
MP7 | Whiteout (Factory New),"[-99.99000000000001, 399.99]"
★ Flip Knife | Night (Minimal Wear),"[-1.009999999999991, 175.0]"
★ Gut Knife | Slaughter (Factory New),"[20.36, 109.99]"
★ Gut Knife | Blue Steel (Well-Worn),"[9.829999999999998, 67.19]"
★ M9 Bayonet | Crimson Web (Well-Worn),"[4.2900000000000205, 325.0]"
★ Gut Knife | Stained (Minimal Wear),"[5.6299999999999955, 72.0]"
★ Karambit | Scorched (Battle-Scarred),"[10.840000000000003, 229.99]"
★ Karambit | Safari Mesh (Field-Tested),"[49.00999999999999, 180.0]"
★ M9 Bayonet | Case Hardened (Field-Tested),"[20.470000000000027, 298.57]"
★ Karambit | Crimson Web (Battle-Scarred),"[35.06999999999999, 341.99]"
★ Flip Knife | Slaughter (Minimal Wear),"[53.81999999999999, 194.81]"
★ Gut Knife | Boreal Forest (Field-Tested),"[11.010000000000005, 60.91]"
★ Bayonet | Case Hardened (Minimal Wear),"[-73.88999999999999, 400.0]"
★ M9 Bayonet | Stained (Field-Tested),"[61.81, 170.0]"
★ Karambit | Case Hardened (Battle-Scarred),"[-90.47000000000003, 499.0]"
★ Karambit | Slaughter (Minimal Wear),"[107.66999999999996, 500.0]"
★ Bayonet | Blue Steel (Minimal Wear),"[5.5, 229.99]"
★ Bayonet | Stained (Well-Worn),"[31.50999999999999, 148.0]"
★ Gut Knife | Safari Mesh (Battle-Scarred),"[-8.620000000000005, 78.0]"
★ Gut Knife | Crimson Web (Field-Tested),"[18.680000000000007, 69.0]"
★ M9 Bayonet | Night (Field-Tested),"[47.03999999999999, 184.99]"
★ Karambit | Slaughter (Factory New),"[118.03999999999996, 700.0]"
★ Flip Knife | Slaughter (Field-Tested),"[2.509999999999991, 200.0]"
★ Gut Knife | Safari Mesh (Minimal Wear),"[0.28000000000000114, 69.49]"
